year,wbhao,state,igen,lths,scol,college,hinsured,employed,married2,children,gen1,gen2,gen3,rincp_all
1995,Hispanic,Illinois,3rd Generation,.3183704,.38803869,.047497544,.77282977,.67707831,.66961277,.66019839,,,,34842.156
1995,White,Florida,3rd Generation,.069815606,.60499191,.29106733,.8261798,.81602722,.66504836,.4929938,,,,41467.453
1995,Hispanic,Florida,3rd Generation,.28501421,.4854674,.13754712,.73200822,.64755923,.73743188,.59419602,,,,52230
1995,White,Texas,3rd Generation,.051727243,.65278298,.32968754,.84956795,.83767283,.74901628,.53583997,,,,44316.363
1995,Hispanic,Texas,3rd Generation,.27142349,.33383223,.087630354,.6995635,.77958369,.72296548,.64068288,,,,29280.455
1995,White,California,3rd Generation,.036134355,.70770466,.33333322,.84781528,.8102352,.61978626,.48395699,,,,49183.25
1995,Hispanic,California,3rd Generation,.12540768,.41224778,.084981352,.76884872,.76286554,.56269532,.68932641,,,,36481.863
1995,White,New York,All,.054446712,.61217827,.36023647,.85638577,.78198296,.66648442,.51880884,.095125258,.11565637,.78921837,47553.039
1995,Hispanic,New York,All,.33701774,.30487087,.10251571,.68202192,.57513767,.52485424,.66208744,.52726978,.44400805,.028722178,28805.637
1995,White,New Jersey,All,.04774243,.59980094,.36973599,.87320125,.82000333,.70208883,.53098297,.092641771,.10691229,.80044591,52462.66
1995,Hispanic,New Jersey,All,.28242135,.35920918,.11470962,.7032665,.73623616,.63363022,.65204161,.62564659,.34496498,.029388431,32699.145
1995,White,Illinois,All,.05362533,.62406212,.33420351,.90099388,.85584319,.69977432,.52215338,.055571936,.057808049,.88662004,46043.117
1995,Hispanic,Illinois,All,.42280173,.3167983,.099350013,.77085209,.73375642,.74173629,.66489267,.65733272,.23271075,.10995654,31967.926
1995,White,Florida,All,.07050477,.60687929,.29653099,.82671237,.81512713,.67176497,.49303862,.042029556,.064900279,.89307016,41625.727
1995,Hispanic,Florida,All,.28235954,.44398552,.1559661,.67920405,.75653589,.6696952,.59725934,.71224904,.25004861,.037702363,28014.273
1995,White,Texas,All,.052475873,.65504014,.33357161,.85010475,.83812737,.74790579,.53610682,.020824773,.025122302,.95405293,44316.363
1995,Hispanic,Texas,All,.40201545,.29456618,.09905728,.58710527,.72474688,.71945995,.68432176,.35770398,.20160455,.44069147,26843.055
1995,White,California,All,.037600629,.71330303,.34840435,.84336847,.80146599,.63496244,.48487309,.085175402,.085055426,.82976919,49064.547
1995,Hispanic,California,All,.45823771,.25353125,.069749407,.58495182,.67870378,.65968049,.74237335,.69543356,.14235274,.1622137,26906.363
1996,White,New York,1st Generation,.12948152,.5274294,.35276371,.7628479,.69084722,.72344685,.48372099,,,,43683.414
1996,Hispanic,New York,1st Generation,.44389656,.22037609,.08957196,.52450663,.62876439,.52798384,.61533356,,,,24109.721
1996,White,New Jersey,1st Generation,.18395843,.55199581,.34631011,.77445477,.74813998,.8267498,.61278707,,,,43119.309
1996,Hispanic,New Jersey,1st Generation,.23090325,.42982376,.1924483,.66546774,.70594847,.69402546,.77789944,,,,32146.293
1996,White,Illinois,1st Generation,.096568987,.54663014,.26306877,.71211618,.74363875,.7499246,.51994234,,,,33753.609
1996,Hispanic,Illinois,1st Generation,.6400103,.1227287,.029368,.70420873,.71581298,.72091877,.67290282,,,,24109.721
1996,White,Florida,1st Generation,.057435058,.64903307,.38728738,.83151764,.79050517,.61309749,.47258195,,,,40221.504
