year,wbhao,igen,lths,scol,college,hinsured,employed,married2,children,gen1,gen2,gen3,rincp_all
2007,White,All,.054410342,.63883513,.3539255,.86309445,.81731367,.66805661,.50370687,.048833713,.046807405,.90435886,47034.039
2007,Hispanic,All,.33198527,.33751452,.13302574,.59654474,.76036394,.65067565,.65977252,.59253168,.1980668,.20940149,30564.484
2008,White,1st Generation,.058682054,.69145179,.47335905,.80609334,.77941841,.71004224,.50656474,,,,45768.98
2008,Hispanic,1st Generation,.45714736,.2277579,.098686978,.49414206,.72683573,.70928168,.68663782,,,,27435.324
2008,White,2nd Generation,.032279063,.74311513,.45549434,.90304673,.81613833,.60785371,.4526256,,,,52641.531
2008,Hispanic,2nd Generation,.13250449,.549555,.21400282,.75841582,.80074394,.54893392,.61068356,,,,40009.848
2008,White,3rd Generation,.049295202,.64320922,.35260129,.86941302,.81416911,.6538499,.48595646,,,,46354.27
2008,Hispanic,3rd Generation,.14731531,.46584433,.16188999,.751378,.76384008,.54665917,.56427193,,,,34522.785
2008,White,All,.048956294,.65014493,.36314541,.86794072,.81259739,.65440857,.48539892,.047853187,.046314783,.90583205,46868.68
2008,Hispanic,All,.3235094,.34544522,.13612533,.60400385,.75008059,.64122194,.64469296,.57858628,.20731443,.21409926,30864.74
2009,White,1st Generation,.054128651,.71566802,.50332636,.81801295,.76310182,.73413175,.50203222,,,,46318.418
2009,Hispanic,1st Generation,.45993942,.22006314,.098341033,.49070218,.69760025,.69434994,.6999017,,,,25343.852
2009,White,2nd Generation,.037769437,.72340584,.44502819,.88252836,.77840477,.60349756,.40556329,,,,52840.973
2009,Hispanic,2nd Generation,.15647486,.51696593,.19956572,.74902666,.73528051,.54762208,.61278844,,,,38529.875
2009,White,3rd Generation,.050555613,.64040864,.34407854,.8617844,.78093058,.65103906,.4888007,,,,45085.461
2009,Hispanic,3rd Generation,.13784522,.45164189,.15202798,.74994147,.73241425,.5462451,.57208896,,,,35841.594
2009,White,All,.050131205,.64786822,.35638726,.86065829,.77996105,.65279686,.48555857,.047786254,.046546511,.90566725,45313.336
2009,Hispanic,All,.32543018,.33346117,.13149779,.60194755,.71317345,.63097596,.65358728,.57012939,.21200645,.21786417,30823.9
2010,White,1st Generation,.07020998,.67109138,.4824855,.77502567,.75109315,.72466958,.50991386,,,,44187.816
2010,Hispanic,1st Generation,.44171849,.23905101,.11118445,.46356449,.68966979,.6665749,.71013695,,,,25407.994
2010,White,2nd Generation,.045415144,.72903168,.45378363,.85317189,.77310568,.5966168,.42497191,,,,52178.078
2010,Hispanic,2nd Generation,.14132291,.52404052,.21914774,.70899522,.73824936,.51636791,.62355793,,,,35792.133
2010,White,3rd Generation,.050191484,.64068043,.34441802,.83687294,.77338505,.63754737,.48768657,,,,44634.113
2010,Hispanic,3rd Generation,.12177299,.47085544,.17358422,.71566755,.7092194,.50867957,.56726527,,,,37614.879
2010,White,All,.050942089,.64638305,.3563858,.83462757,.77228206,.63985288,.48578036,.048881341,.047719389,.90339929,44961.105
2010,Hispanic,All,.30825096,.3503927,.1479502,.57062954,.70439637,.60028172,.66087794,.56955796,.21741678,.21302526,29826.777
2011,White,1st Generation,.070414208,.67613471,.47889796,.78718704,.74297065,.73807436,.51493037,,,,43492.93
2011,Hispanic,1st Generation,.44171914,.23931552,.097666644,.47947788,.69465131,.65853196,.69698673,,,,25003.434
2011,White,2nd Generation,.037396725,.76124769,.4699946,.86074883,.80518198,.59047467,.4393509,,,,49006.73
2011,Hispanic,2nd Generation,.14014794,.51744795,.21471354,.74984068,.74224061,.50493455,.59918523,,,,36972.469
2011,White,3rd Generation,.048902363,.65509021,.35958683,.83776832,.77662647,.62798262,.47736385,,,,45126.852
2011,Hispanic,3rd Generation,.12512612,.48529008,.17506506,.73826802,.695876,.51004803,.58074594,,,,36536.539
2011,White,All,.04941079,.66113657,.37064043,.83638036,.77632982,.63159478,.4774048,.04891187,.047260072,.90382808,45449.723
2011,Hispanic,All,.30540144,.35507652,.14072844,.5962674,.70561153,.59186566,.64984059,.55875951,.22473715,.21650334,29351.857
2012,White,1st Generation,.045906644,.72005415,.50248033,.77984124,.74732459,.72725981,.50967348,,,,45316.586
2012,Hispanic,1st Generation,.40936965,.26272595,.11593272,.4834314,.71226341,.66710514,.69194746,,,,25292.979
2012,White,2nd Generation,.028062839,.77173179,.4949185,.85495239,.80294645,.60726106,.46968234,,,,52693.703
2012,Hispanic,2nd Generation,.14117725,.52376544,.22454445,.71921575,.72577053,.51711595,.59046745,,,,36411.352
2012,White,3rd Generation,.047859631,.65833825,.36260298,.84406102,.77771431,.62499106,.47113788,,,,44517.75
2012,Hispanic,3rd Generation,.12680113,.50520939,.18871953,.74367136,.72631252,.48598737,.56442207,,,,35072.93
2012,White,All,.046896588,.66645581,.37556884,.84122932,.7772491,.62948364,.47305837,.051482212,.043567538,.90495026,45290.238
2012,Hispanic,All,.28456882,.37704238,.15731809,.59574938,.71850878,.592233,.64019454,.54644406,.23370561,.21985032,29044.77
2013,White,1st Generation,.065659098,.69488132,.47379985,.7606076,.72637683,.7411598,.5260132,,,,46370.578
2013,Hispanic,1st Generation,.40856665,.2618427,.12027571,.48845115,.71375239,.66484392,.68599486,,,,24775.57
2013,White,2nd Generation,.024440121,.76779938,.51772821,.86934167,.79165721,.60226727,.4410927,,,,52648.086
2013,Hispanic,2nd Generation,.11842287,.53101695,.22658895,.75056624,.74169195,.50230098,.54992813,,,,35530.234
2013,White,3rd Generation,.046613343,.66814876,.37125772,.84270716,.78251421,.61465544,.47506478,,,,44326.594
2013,Hispanic,3rd Generation,.1166188,.50337934,.19904843,.73753124,.72425896,.4833062,.5560993,,,,36131.039
2013,White,All,.046548743,.673953,.3828938,.83987772,.78017068,.62030679,.47603434,.049087781,.045077536,.90583467,44723.004
2013,Hispanic,All,.2759122,.37843058,.16264841,.60504919,.72263443,.58655345,.62533599,.54417193,.23477723,.22105084,28987.418
2014,White,1st Generation,.073433846,.72081304,.53342199,.78535384,.75196666,.75141138,.54104716,,,,45824.625
2014,Hispanic,1st Generation,.42755204,.26377833,.11861794,.56542033,.72174191,.6649946,.68657953,,,,25438.34
