,% Employed,% Married,% less than High School diploma,% with Children,% with College Degree,% with Health Insurance,Median Individual Real Income,igen,scol,state,wbhao,wbhao_igen,year
25,0.70945442,0.6607039000000001,0.41223982,0.68558466,0.09654072699999999,0.63259727,27818.908,All,0.29053819,National,Hispanic,Hispanic All,1996
155,0.70393938,0.68806887,0.49429804,0.729554,0.079846285,0.60038745,27324.35,All,0.24306190000000003,California,Hispanic,Hispanic All,1996
151,0.73535413,0.6859864,0.23957482,0.66474551,0.17763241,0.69495529,30909.897999999997,All,0.45982417,Florida,Hispanic,Hispanic All,1996
149,0.75923413,0.64343297,0.48416343,0.61925417,0.068046279,0.74975401,27818.908,All,0.2320786,Illinois,Hispanic,Hispanic All,1996
147,0.6795159000000001,0.64738834,0.26981881,0.74654186,0.14318879,0.73518831,32463.121,All,0.3918716,New Jersey,Hispanic,Hispanic All,1996
145,0.62832302,0.48307076,0.36931738,0.58074039,0.099822782,0.66486889,31759.92,All,0.2761445,New York,Hispanic,Hispanic All,1996
153,0.73366231,0.71326107,0.43776354,0.70010918,0.063923672,0.55559897,24666.097999999998,All,0.26094791,Texas,Hispanic,Hispanic All,1996
24,0.82195956,0.69384456,0.074102528,0.51931548,0.30102557,0.86719698,43210.492,All,0.58374286,National,White,White All,1996
154,0.80098039,0.63686299,0.044038519000000005,0.48930401,0.36395459999999996,0.83970684,51789.535,All,0.72305405,California,White,White All,1996
150,0.81445098,0.64171565,0.07328663,0.49045882,0.28021726,0.815238,38744.012,All,0.57006234,Florida,White,White All,1996
148,0.84310496,0.67649704,0.057990219,0.49671715,0.33199602,0.89784181,46519.395,All,0.63290787,Illinois,White,White All,1996
146,0.82314038,0.69973832,0.04694603,0.53689808,0.36565855,0.85405338,51107.973,All,0.58996463,New Jersey,White,White All,1996
144,0.78475046,0.66845286,0.056488339000000005,0.50567877,0.35060462,0.88281518,46751.219000000005,All,0.60439497,New York,White,White All,1996
152,0.83309823,0.70997363,0.065905534,0.52168554,0.32669947,0.84368855,46364.848,All,0.65336138,Texas,White,White All,1996
27,0.71410489,0.7124328000000001,0.51694131,0.72311032,0.091027535,0.53366536,22587.857000000004,1st Generation,0.24069539,National,Hispanic,Hispanic 1st Generation,1997
167,0.71181154,0.71761364,0.60089046,0.78032988,0.05419573900000001,0.5248673,21104.17,1st Generation,0.19900785,California,Hispanic,Hispanic 1st Generation,1997
163,0.78091645,0.72657084,0.24039063,0.65404499,0.22538744,0.69019938,28597.843999999997,1st Generation,0.48293296,Florida,Hispanic,Hispanic 1st Generation,1997
161,0.71848232,0.7464903,0.56148672,0.72174168,0.037283092999999996,0.66664857,30095.074,1st Generation,0.12664333,Illinois,Hispanic,Hispanic 1st Generation,1997
159,0.80950165,0.6967538000000001,0.29126540000000006,0.69970381,0.19826581,0.58930832,25430.338,1st Generation,0.35026032,New Jersey,Hispanic,Hispanic 1st Generation,1997
157,0.6810531,0.55065489,0.40357822,0.61361188,0.09496110699999999,0.54297674,21909.213,1st Generation,0.26998457,New York,Hispanic,Hispanic 1st Generation,1997
165,0.67553586,0.77820796,0.61144483,0.66394287,0.07719223900000001,0.43732765,22797.017999999996,1st Generation,0.1669793,Texas,Hispanic,Hispanic 1st Generation,1997
29,0.75741005,0.59585208,0.24475858,0.64122182,0.13658018,0.75471836,34007.434,2nd Generation,0.43660796,National,Hispanic,Hispanic 2nd Generation,1997
179,0.83710533,0.60173434,0.11440428,0.59767675,0.1774395,0.75849217,36565.516,2nd Generation,0.54565847,California,Hispanic,Hispanic 2nd Generation,1997
175,0.8221243,0.61250883,0.20249376,0.58580953,0.17187801,0.74303877,28590.32,2nd Generation,0.50270182,Florida,Hispanic,Hispanic 2nd Generation,1997
173,0.8460271999999999,0.54184413,0.30456969,0.60845113,0.14741977,0.80819309,45142.609000000004,2nd Generation,0.41761601,Illinois,Hispanic,Hispanic 2nd Generation,1997
171,0.63201052,0.55277443,0.32294354,0.65273446,0.038471293,0.79984248,36151.707,2nd Generation,0.29381043,New Jersey,Hispanic,Hispanic 2nd Generation,1997
169,0.69466406,0.52481437,0.30682015,0.55765969,0.14278159,0.80942333,38593.922,2nd Generation,0.40741664,New York,Hispanic,Hispanic 2nd Generation,1997
177,0.74530226,0.69916332,0.26001078,0.70698446,0.07865928900000001,0.64524007,31644.971,2nd Generation,0.39691821,Texas,Hispanic,Hispanic 2nd Generation,1997
31,0.76063514,0.6213031999999999,0.18669638,0.62951052,0.13832527,0.76528609,33104.582,3rd Generation,0.42628494,National,Hispanic,Hispanic 3rd Generation,1997
191,0.73889107,0.55200517,0.17024165,0.56005478,0.14128059,0.84334558,39198.832,3rd Generation,0.48603874,California,Hispanic,Hispanic 3rd Generation,1997
187,0.78122163,0.83703911,0.22258084,0.57165003,0.22409156,0.86955458,44540.707,3rd Generation,0.51610911,Florida,Hispanic,Hispanic 3rd Generation,1997
185,0.85570079,0.67680669,0.10817919999999999,0.64438373,0.22165879999999996,0.81685096,46701.535,3rd Generation,0.49666479,Illinois,Hispanic,Hispanic 3rd Generation,1997
183,0.71514684,0.76449966,0.17936614,0.81353486,0.32886699,0.75669348,40641.891,3rd Generation,0.42708278,New Jersey,Hispanic,Hispanic 3rd Generation,1997
181,0.87933499,0.52582175,0.057769898,0.57092738,0.42199889,0.81785226,43750.715,3rd Generation,0.61783928,New York,Hispanic,Hispanic 3rd Generation,1997
189,0.75992292,0.69966084,0.23232463,0.66923463,0.11993013,0.66718453,27085.566000000003,3rd Generation,0.33488049999999997,Texas,Hispanic,Hispanic 3rd Generation,1997
33,0.73449296,0.66529024,0.3802242,0.68328393,0.11209998,0.63639969,27100.612999999998,All,0.32727903,National,Hispanic,Hispanic All,1997
