year,wbhao,state,igen,lths,college,hinsured,employed,married2,children,gen1,gen2,gen3,rincp_all
1997,Hispanic,Florida,All,.22949246,.21170889,.71646935,.79140073,.70552856,.63081527,.67443693,.25389299,.071670085,24076.059
1997,White,Texas,All,.065140486,.31919631,.84294516,.83598304,.70373583,.5192371,.027015831,.029176202,.94380796,40628.348
1997,Hispanic,Texas,All,.38152912,.095284425,.57566506,.7249769,.72929466,.67497528,.37857381,.20513906,.41628712,20885.98
1997,White,California,All,.04039431,.36516619,.86269695,.80063695,.62568861,.48509464,.092898086,.084092446,.82300949,42912.566
1997,Hispanic,California,All,.44469658,.089564756,.62118316,.7360431,.66838241,.71050763,.65703446,.15215921,.19080634,20705.41
1998,White,New York,1st Generation,.10145116,.31587106,.73786426,.71980381,.70025039,.49987671,,,,29458.545
1998,Hispanic,New York,1st Generation,.33485335,.12858474,.47153902,.72598016,.59797525,.72364467,,,,19148.055
1998,White,New Jersey,1st Generation,.11147842,.38153076,.78876472,.77483022,.78357917,.6055454,,,,30843.096
1998,Hispanic,New Jersey,1st Generation,.2029366,.19885278,.55391049,.84337151,.5862931,.64815593,,,,24544.859
1998,White,Illinois,1st Generation,.06764473,.44689095,.76659399,.79259384,.74781173,.51557428,,,,34466.496
1998,Hispanic,Illinois,1st Generation,.53879118,.092473127,.55319691,.69641185,.74986637,.80671275,,,,19148.055
1998,White,Florida,1st Generation,.099115051,.46164712,.74142969,.80347568,.69658393,.45849064,,,,32404.398
1998,Hispanic,Florida,1st Generation,.23439226,.22645685,.66516066,.7743507,.78336602,.61032307,,,,22093.908
1998,White,Texas,1st Generation,.080243327,.46673131,.85902816,.70433456,.78734106,.69997686,,,,38502.316
1998,Hispanic,Texas,1st Generation,.64162463,.073486619,.47519675,.68548918,.71761876,.76014173,,,,16202.199
1998,White,California,1st Generation,.097565636,.48520806,.78273976,.80047452,.67524391,.45056668,,,,38296.109
1998,Hispanic,California,1st Generation,.59647739,.051757269,.49415722,.72586656,.69806421,.77427447,,,,17675.127
1998,White,New York,2nd Generation,.038503438,.41813093,.86797738,.84331489,.65656871,.48540717,,,,45999.52
1998,Hispanic,New York,2nd Generation,.29035705,.15591775,.80360675,.58228564,.5027644,.58999473,,,,22388.494
1998,White,New Jersey,2nd Generation,.017156001,.50304443,.89090812,.82165033,.6375398,.48404878,,,,45660.746
1998,Hispanic,New Jersey,2nd Generation,.2123521,.14005169,.71565282,.75263679,.57474667,.63709593,,,,30648.67
1998,White,Illinois,2nd Generation,.048309598,.41313452,.8565771,.77422285,.67089242,.43956667,,,,45660.746
1998,Hispanic,Illinois,2nd Generation,.20460679,.16561389,.80660576,.78196448,.65789706,.5578618,,,,35350.254
1998,White,Florida,2nd Generation,.088356018,.25439948,.8466084,.7989642,.67997396,.52422959,,,,39769.035
1998,Hispanic,Florida,2nd Generation,.14344683,.24871929,.7614904,.81011599,.63371634,.57109237,,,,27985.617
1998,White,Texas,2nd Generation,.021914463,.36190915,.8877424,.82562929,.73869014,.49147618,,,,44187.816
1998,Hispanic,Texas,2nd Generation,.31233338,.077866435,.76856047,.81332827,.66227615,.63693184,,,,29508.625
1998,White,California,2nd Generation,.030095555,.40703484,.87482184,.82877588,.58941126,.41688442,,,,45815.402
1998,Hispanic,California,2nd Generation,.21471989,.16904053,.78001785,.81909901,.55569732,.61278683,,,,32404.398
1998,White,New York,3rd Generation,.049229566,.34285954,.87415481,.83227926,.66423696,.52127963,,,,42493.949
1998,Hispanic,New York,3rd Generation,0,.27582994,.78799629,.74151284,.35824609,.65552938,,,,26461.139
1998,White,New Jersey,3rd Generation,.034701277,.38586617,.87812245,.83661121,.71778679,.50266027,,,,50889.637
1998,Hispanic,New Jersey,3rd Generation,.18585761,.24444288,.81326562,.61431146,.55884624,.48351404,,,,39769.035
1998,White,Illinois,3rd Generation,.040046275,.3162109,.91061991,.8507874,.67162651,.54747403,,,,42731.094
1998,Hispanic,Illinois,3rd Generation,.15141563,.2799719,.91685206,.7928409,.77285469,.42283329,,,,39769.035
1998,White,Florida,3rd Generation,.060273699,.27841887,.81813437,.80598176,.62376952,.44097239,,,,36823.18
1998,Hispanic,Florida,3rd Generation,.092949972,.24463801,.77671468,.8837046,.65525109,.63098431,,,,32551.691
1998,White,Texas,3rd Generation,.059403267,.32692617,.83301622,.8396039,.7154696,.51368767,,,,38779.227
1998,Hispanic,Texas,3rd Generation,.18629776,.15028052,.67770171,.7771185,.6987375,.69295925,,,,26512.689
