,year,female,wbhao,igen,% less than High School diploma,scol,% with College Degree,% with Health Insurance,% Employed,% Married,% with Children,Median Individual Real Income,wbhao_igen
178,2004,0,Hispanic,All,0.36423114,0.31908354,0.12591544,0.57733113,0.86658466,0.6596569999999999,0.62710369,33505.551,Hispanic All
179,2004,1,Hispanic,All,0.33089468,0.34974125,0.13743877,0.65527725,0.62057763,0.63666767,0.72037625,25773.502,Hispanic All
176,2004,0,White,All,0.059651512999999996,0.6202324,0.34418213,0.8599896999999999,0.87517136,0.70659465,0.56390285,58067.699,White All
177,2004,1,White,All,0.047247689,0.64931899,0.34124994,0.88132757,0.73785311,0.70412421,0.60954344,37996.586,White All
182,2005,0,Hispanic,1st Generation,0.47766781,0.21253228,0.090662576,0.5008136,0.89313114,0.69999969,0.67195153,29738.162,Hispanic 1st Generation
183,2005,1,Hispanic,1st Generation,0.47960591,0.23681939999999999,0.10381167,0.56011665,0.54891938,0.67522115,0.76034671,20076.396,Hispanic 1st Generation
186,2005,0,Hispanic,2nd Generation,0.17322695,0.47857875,0.17187192,0.74717605,0.84251684,0.58799505,0.55827504,43917.117,Hispanic 2nd Generation
187,2005,1,Hispanic,2nd Generation,0.15991978,0.50546747,0.21371366,0.80916369,0.68994623,0.57522488,0.68345749,32624.145,Hispanic 2nd Generation
190,2005,0,Hispanic,3rd Generation,0.13387488,0.46945962,0.15238261,0.7330572,0.84760785,0.61434519,0.55105108,45171.890999999996,Hispanic 3rd Generation
191,2005,1,Hispanic,3rd Generation,0.17609477,0.48466629,0.14945465,0.7548334,0.72311682,0.56240553,0.62215239,30272.695,Hispanic 3rd Generation
194,2005,0,Hispanic,All,0.35121381,0.31429657,0.11836898,0.59390849,0.8744451999999999,0.66168034,0.62623525,33878.918,Hispanic All
195,2005,1,Hispanic,All,0.34049946,0.35202372,0.13784203,0.65868086,0.61975539,0.62750852,0.71157122,25197.132999999998,Hispanic All
192,2005,0,White,All,0.061465096,0.60779709,0.33640447,0.85915422,0.88016593,0.70424098,0.56276679,57719.640999999996,White All
193,2005,1,White,All,0.048062325,0.65310484,0.34297612,0.88212568,0.74169773,0.69664818,0.60993445,37643.242,White All
198,2006,0,Hispanic,1st Generation,0.48628432,0.20686707,0.087779514,0.49333334,0.90238655,0.71460259,0.68757433,29661.932,Hispanic 1st Generation
199,2006,1,Hispanic,1st Generation,0.44630247,0.24361029,0.10598876,0.54750121,0.56537277,0.68608785,0.76849771,20195.357,Hispanic 1st Generation
202,2006,0,Hispanic,2nd Generation,0.15348256,0.47532701,0.16908051,0.7291503,0.82853156,0.56565505,0.55069506,43691.879,Hispanic 2nd Generation
203,2006,1,Hispanic,2nd Generation,0.15689197,0.54449183,0.22250825,0.78036565,0.68482202,0.53686631,0.65423018,34194.965,Hispanic 2nd Generation
206,2006,0,Hispanic,3rd Generation,0.13092163,0.45748466,0.16058868,0.73886859,0.85361832,0.61026818,0.5568951999999999,43694.305,Hispanic 3rd Generation
207,2006,1,Hispanic,3rd Generation,0.16384646,0.46527696,0.16269539,0.75631821,0.70005971,0.5738225,0.65445352,32045.566000000003,Hispanic 3rd Generation
210,2006,0,Hispanic,All,0.35508782,0.30563036,0.11708350000000001,0.58506739,0.87917352,0.66661465,0.63664985,32817.457,Hispanic All
