year,female,wbhao,igen,lths,college,hinsured,employed,married2,children,gen1,gen2,gen3,rincp_all
2003,0,Hispanic,All,.37737677,.12259517,.58727032,.85534328,.64959776,.63027263,.61227614,.18404379,.20368008,31618.615
2003,1,Hispanic,All,.3545008,.13245419,.65239894,.61395985,.64901447,.73122352,.56361634,.20473741,.23164624,15809.308
2004,0,White,1st Generation,.068007328,.47337726,.80236149,.88216591,.77262485,.61506414,,,,51547.004
2004,1,White,1st Generation,.060131058,.43929115,.82953924,.63935947,.77411461,.6537472,,,,20109.773
2004,0,Hispanic,1st Generation,.49059898,.099208295,.49024817,.88699627,.705423,.68536532,,,,28350.852
2004,1,Hispanic,1st Generation,.47418284,.10939968,.53666693,.5378505,.70359927,.78366429,,,,10886.727
2004,0,White,2nd Generation,.033307493,.44042704,.88720161,.87722552,.66068053,.52145612,,,,63273.945
2004,1,White,2nd Generation,.023273068,.45313504,.90465349,.76343149,.69735885,.58879334,,,,34794.227
2004,0,Hispanic,2nd Generation,.16808453,.18417586,.72941232,.83640331,.58354717,.53305745,,,,38660.25
2004,1,Hispanic,2nd Generation,.16609335,.19191614,.79857028,.73171884,.54189461,.66245556,,,,25076.328
2004,0,White,3rd Generation,.060532812,.33260366,.86164355,.87470251,.70543718,.56334996,,,,53157.848
2004,1,White,3rd Generation,.047790498,.33071095,.88278633,.74156368,.70091873,.6083402,,,,29639.525
2004,0,Hispanic,3rd Generation,.15975785,.15464646,.70366335,.83226329,.58997524,.53594553,,,,38661.539
2004,1,Hispanic,3rd Generation,.14780445,.1531394,.80061001,.7118029,.56725436,.62604469,,,,21907.477
2004,0,White,All,.059651513,.34418213,.8599897,.87517136,.70659465,.56390285,.047472518,.045403812,.90712368,53608.883
2004,1,White,All,.047247689,.34124994,.88132757,.73785311,.70412421,.60954344,.045996033,.045291197,.90871274,29474.576
2004,0,Hispanic,All,.36423114,.12591544,.57733113,.86658466,.659657,.62710369,.61353844,.1788871,.20757446,32184.66
2004,1,Hispanic,All,.33089468,.13743877,.65527725,.62057763,.63666767,.72037625,.54896528,.21432848,.23670626,16046.582
2005,0,White,1st Generation,.076137841,.45888835,.79924595,.88124859,.76181817,.59169412,,,,50914.996
2005,1,White,1st Generation,.069718152,.43341267,.82836396,.63308281,.76938254,.63096946,,,,19743.881
2005,0,Hispanic,1st Generation,.47766781,.090662576,.5008136,.89313114,.69999969,.67195153,,,,27605.045
2005,1,Hispanic,1st Generation,.47960591,.10381167,.56011665,.54891938,.67522115,.76034671,,,,11292.973
2005,0,White,2nd Generation,.038683306,.41404283,.84903866,.86763591,.65130341,.52585477,,,,58510.148
2005,1,White,2nd Generation,.023423664,.45879036,.90623468,.75192124,.68286598,.56110942,,,,33418.418
2005,0,Hispanic,2nd Generation,.17322695,.17187192,.74717605,.84251684,.58799505,.55827504,,,,37644.496
2005,1,Hispanic,2nd Generation,.15991978,.21371366,.80916369,.68994623,.57522488,.68345749,,,,24597.35
2005,0,White,3rd Generation,.061872322,.3259652,.86282068,.88075662,.70395499,.56315619,,,,52725.637
2005,1,White,3rd Generation,.048151124,.33289942,.88367546,.74666709,.69365174,.61120981,,,,28859.82
2005,0,Hispanic,3rd Generation,.13387488,.15238261,.7330572,.84760785,.61434519,.55105108,,,,40529.227
