,year,wbhao,centcity,igen,% less than High School diploma,scol,% with College Degree,% with Health Insurance,% Employed,% Married,% with Children,Median Individual Real Income,wbhao_igen
208,2006,White,0,All,0.05507648,0.61845827,0.31826615,0.86923242,0.81506079,0.71888578,0.60590243,46252.707,White All
209,2006,White,1,All,0.042960554000000005,0.72513425,0.44986546,0.85987782,0.80866003,0.595662,0.49613661,50109.73,White All
214,2007,Hispanic,0,1st Generation,0.43460420000000005,0.24772529,0.099373139,0.50078964,0.75453961,0.73157847,0.7124629,27037.813,Hispanic 1st Generation
215,2007,Hispanic,1,1st Generation,0.49934244,0.1982259,0.088134177,0.47051871,0.72844869,0.69502449,0.69170517,24451.586,Hispanic 1st Generation
218,2007,Hispanic,0,2nd Generation,0.1474233,0.53021622,0.21036549,0.79002261,0.77794284,0.62842584,0.65288335,42349.441,Hispanic 2nd Generation
219,2007,Hispanic,1,2nd Generation,0.15577775,0.52027202,0.21492153,0.72472805,0.76397288,0.4820725,0.54507554,37617.824,Hispanic 2nd Generation
222,2007,Hispanic,0,3rd Generation,0.11657903,0.47184846,0.17081371,0.74228734,0.79893053,0.58547097,0.60118538,36454.023,Hispanic 3rd Generation
223,2007,Hispanic,1,3rd Generation,0.15865162,0.47755373,0.16132669,0.75718123,0.79640687,0.48931068,0.56436682,36651.52,Hispanic 3rd Generation
226,2007,Hispanic,0,All,0.30837911,0.35241976,0.13686082,0.61062205,0.76888067,0.67924368,0.67633384,31740.041,Hispanic All
227,2007,Hispanic,1,All,0.3638514,0.31739378,0.12784871,0.57754165,0.74886715,0.61211139,0.63741624,29388.926,Hispanic All
224,2007,White,0,All,0.057132754,0.61579114,0.3253969,0.86535543,0.81711286,0.68932998,0.52038121,47022.280999999995,White All
225,2007,White,1,All,0.043383107000000004,0.73217589,0.46948171,0.85393608,0.8181271,0.58188808,0.43616667,51974.902,White All
230,2008,Hispanic,0,1st Generation,0.44007029999999997,0.24726875,0.10581204,0.49388990000000005,0.72637171,0.72599655,0.70948136,28578.463,Hispanic 1st Generation
231,2008,Hispanic,1,1st Generation,0.47949919,0.20222056,0.089361131,0.49447212,0.7274431,0.68740404,0.6567384,25149.049,Hispanic 1st Generation
234,2008,Hispanic,0,2nd Generation,0.12820001,0.53713697,0.20579433,0.76406175,0.80936819,0.61524957,0.64644521,41152.988,Hispanic 2nd Generation
235,2008,Hispanic,1,2nd Generation,0.13873747,0.56753659,0.22588888,0.75024033,0.78825587,0.45290729,0.55889976,37307.469,Hispanic 2nd Generation
238,2008,Hispanic,0,3rd Generation,0.14823709,0.46377659,0.14714502,0.76418555,0.76656282,0.59149081,0.61006123,36580.434,Hispanic 3rd Generation
239,2008,Hispanic,1,3rd Generation,0.14607152,0.46863437,0.18178548,0.73409665,0.76016617,0.48616749,0.50248808,34294.156,Hispanic 3rd Generation
242,2008,Hispanic,0,All,0.31083190000000005,0.35565501,0.13604833,0.60959631,0.7527318000000001,0.67348444,0.67469108,33151.02,Hispanic All
243,2008,Hispanic,1,All,0.34056258,0.33171147,0.13622892,0.59648108,0.74651426,0.59782392,0.60434091,28578.463,Hispanic All
240,2008,White,0,All,0.052185252,0.62760419,0.33469479999999996,0.87125552,0.81255901,0.68040931,0.50839883,45918.73,White All
241,2008,White,1,All,0.036124691,0.73971993,0.47620577,0.85476816,0.81274992,0.55108386,0.39399913,50526.723,White All
246,2009,Hispanic,0,1st Generation,0.44499645,0.22538640000000001,0.097658724,0.48212573,0.70701748,0.71278316,0.72480822,26860.827999999998,Hispanic 1st Generation
247,2009,Hispanic,1,1st Generation,0.47916892,0.21321283,0.099219061,0.50173885,0.68548155,0.67062902,0.66785043,23756.422000000002,Hispanic 1st Generation
250,2009,Hispanic,0,2nd Generation,0.14216188,0.51574486,0.19985323,0.75839454,0.74591619,0.62020814,0.67053849,38540.887,Hispanic 2nd Generation
251,2009,Hispanic,1,2nd Generation,0.17521693,0.51856494,0.19918926,0.73675984,0.72135377,0.45257452,0.53716785,37208.852,Hispanic 2nd Generation
254,2009,Hispanic,0,3rd Generation,0.13971238,0.4478474,0.13348001,0.73277539,0.72944462,0.57199669,0.59624112,36636.41,Hispanic 3rd Generation
255,2009,Hispanic,1,3rd Generation,0.13505892,0.45730424,0.17970648,0.77555776,0.73684573,0.50781691,0.53604746,35227.316,Hispanic 3rd Generation
258,2009,Hispanic,0,All,0.31161153,0.33724147,0.12733144,0.59745163,0.72031891,0.6611739999999999,0.68404561,31924.756,Hispanic All
259,2009,Hispanic,1,All,0.34385875,0.32841972,0.13705401,0.60794342,0.70364422,0.59070385,0.61296809,28622.193,Hispanic All
256,2009,White,0,All,0.053402446,0.62547886,0.32540062,0.86325127,0.77812064,0.6795791999999999,0.51253211,44477.789000000004,White All
257,2009,White,1,All,0.037341435,0.73540509,0.47753763,0.85052025,0.78715658,0.54808432,0.38009858,49450.344000000005,White All
