year,wbhao,centcity,igen,lths,college,hinsured,employed,married2,children,gen1,gen2,gen3,rincp_all
2001,Hispanic,1,1st Generation,.52273446,.090665504,.53684801,.73502475,.68267947,.71666855,,,,20644.27
2001,White,0,2nd Generation,.027891416,.39863974,.91777647,.84651047,.66739273,.49364522,,,,48169.961
2001,White,1,2nd Generation,.04030152,.46655464,.88924348,.84145594,.56947541,.37629554,,,,52053.836
2001,Hispanic,0,2nd Generation,.19391766,.17083743,.76063842,.76471704,.57922471,.65174872,,,,28167.041
2001,Hispanic,1,2nd Generation,.26083675,.15453924,.8092981,.73425049,.5036366,.59873599,,,,28915.738
2001,White,0,3rd Generation,.060321502,.29814473,.89863825,.82833165,.70872247,.52247477,,,,41288.539
2001,White,1,3rd Generation,.049649619,.42167014,.88977474,.83052886,.554919,.40033695,,,,44365.91
2001,Hispanic,0,3rd Generation,.16525866,.12543131,.80608559,.80401152,.6511243,.67158455,,,,28626.719
2001,Hispanic,1,3rd Generation,.15828648,.1916049,.82846296,.78684473,.5656662,.57205421,,,,30501.219
2001,White,0,All,.059569307,.30749446,.897596,.82740146,.70916176,.52144617,.037556455,.045549657,.9168939,41288.539
2001,White,1,All,.054536466,.42681292,.88421994,.82347,.56438559,.40329173,.092969723,.064064749,.84296554,44068.633
2001,Hispanic,0,All,.34747493,.11761344,.68671787,.76390082,.68199855,.70546669,.54665905,.20611991,.24722104,24773.123
2001,Hispanic,1,All,.40166938,.12246016,.6463232,.74462038,.62477863,.66582155,.61141866,.20041485,.1881665,23128.463
2002,White,0,1st Generation,.061469447,.44014251,.83985108,.77546906,.79377055,.63023734,,,,36755.781
2002,White,1,1st Generation,.094553255,.43908316,.78207594,.73356056,.72067726,.54926533,,,,31325.951
2002,Hispanic,0,1st Generation,.48042813,.10140276,.54297036,.74151552,.72050935,.7162714,,,,21419.453
2002,Hispanic,1,1st Generation,.51182693,.10056615,.4969787,.70913285,.66435361,.71812719,,,,20080.738
2002,White,0,2nd Generation,.031992022,.41437966,.90668321,.82605994,.70619589,.56957763,,,,46319.57
2002,White,1,2nd Generation,.033954255,.50246662,.89363009,.81809807,.55663967,.43281069,,,,48193.773
2002,Hispanic,0,2nd Generation,.1675116,.1812128,.75568539,.78396934,.61326158,.65139186,,,,28916.264
2002,Hispanic,1,2nd Generation,.21924621,.14034756,.75462973,.7073828,.48568118,.59656906,,,,25435.602
2002,White,0,3rd Generation,.059151262,.30787703,.89116073,.81824023,.73043674,.61030674,,,,40194.945
2002,White,1,3rd Generation,.044917002,.42308366,.88803065,.8207137,.58298892,.48291755,,,,44177.625
2002,Hispanic,0,3rd Generation,.15955904,.14126189,.77595866,.77711743,.64103675,.62966424,,,,29719.492
2002,Hispanic,1,3rd Generation,.20609334,.19405977,.77429187,.76918095,.54989278,.58399874,,,,32197.455
2002,White,0,All,.057965729,.31749448,.89008141,.81710166,.73153198,.6091072,.035148703,.046651371,.91819996,40228.414
2002,White,1,All,.048917022,.42959639,.87837064,.81231296,.59434056,.48603091,.09449999,.062995784,.8425042,43173.586
2002,Hispanic,0,All,.34242517,.12631954,.64042342,.75829619,.68068075,.68274063,.56520265,.18988657,.24491079,24098.225
2002,Hispanic,1,All,.39758176,.12543568,.59903747,.71957499,.60757613,.6693843,.61760885,.20259073,.17980044,22029.908
2003,White,0,1st Generation,.061018299,.4394519,.82722515,.75885755,.81265283,.63880336,,,,35570.941
2003,White,1,1st Generation,.055054937,.44587287,.77848721,.7493242,.70637774,.5622288,,,,32936.059
2003,Hispanic,0,1st Generation,.48260707,.11229727,.54121286,.73241735,.71765786,.7167148,,,,21737.799
2003,Hispanic,1,1st Generation,.52526504,.093896054,.48162025,.70106667,.67852038,.72843367,,,,19761.635
2003,White,0,2nd Generation,.026339347,.43508631,.90257084,.82992679,.7194795,.57624358,,,,46665.125
2003,White,1,2nd Generation,.031461358,.48682415,.86325592,.82277268,.57344466,.44549122,,,,40992.219
2003,Hispanic,0,2nd Generation,.1614012,.1894553,.77325618,.77281713,.60003018,.64646697,,,,32963.723
2003,Hispanic,1,2nd Generation,.24618834,.1612889,.73750937,.74980515,.46297306,.59322089,,,,28983.73
2003,White,0,3rd Generation,.058425181,.31305671,.88181126,.81269503,.72787607,.60906225,,,,39523.27
2003,White,1,3rd Generation,.042105217,.42489147,.88100809,.81773323,.58533061,.46864581,,,,44825.973
2003,Hispanic,0,3rd Generation,.15517911,.13016801,.75994641,.77584112,.62503237,.61228216,,,,32013.848
2003,Hispanic,1,3rd Generation,.16049087,.17033322,.78823495,.76376295,.54665631,.60584092,,,,32936.059
2003,White,0,All,.057111621,.32291868,.88077158,.81152749,.73053575,.60868615,.035713423,.043825239,.92046136,39529.855
2003,White,1,All,.042693675,.43074849,.8700313,.81145442,.59625679,.47622812,.096345372,.061931074,.84172356,43475.598
2003,Hispanic,0,All,.3420637,.13139904,.63844931,.75063479,.67276925,.67806178,.56712246,.19170931,.24116822,26348.846
2003,Hispanic,1,All,.40479091,.12090182,.5870955,.72192585,.61231798,.67976218,.62331855,.19755007,.1791314,22765.402
2004,White,0,1st Generation,.058582645,.44733611,.82837921,.75657302,.8020916,.6476109,,,,35658.926
2004,White,1,1st Generation,.075958073,.47566023,.78909403,.76791638,.71080881,.60595143,,,,34923.094
2004,Hispanic,0,1st Generation,.46653414,.11511399,.52084213,.74128622,.72658223,.73416531,,,,21911.342
2004,Hispanic,1,1st Generation,.5080409,.086938083,.4968425,.71138269,.67178035,.72319794,,,,19330.125
2004,White,0,2nd Generation,.028036375,.42050675,.90401119,.83113867,.70611316,.58645016,,,,48969.652
2004,White,1,2nd Generation,.028746547,.54128838,.86781222,.77656007,.58380568,.44616017,,,,43840.727
2004,Hispanic,0,2nd Generation,.14057761,.19483769,.77904612,.81263018,.61486149,.60984236,,,,34216.898
2004,Hispanic,1,2nd Generation,.20779793,.1780673,.74510938,.73354119,.47982034,.5871979,,,,28763.227
2004,White,0,3rd Generation,.056907833,.31132805,.87392646,.80762476,.72704148,.60812736,,,,39389.641
2004,White,1,3rd Generation,.038806073,.43875459,.86463267,.80171514,.57700098,.47139215,,,,42526.277
2004,Hispanic,0,3rd Generation,.15148471,.14203601,.75138664,.78263319,.61885232,.60043192,,,,30928.201
2004,Hispanic,1,3rd Generation,.15810835,.17849147,.75732952,.74547708,.49409419,.54395521,,,,29819.941
2004,White,0,All,.055740811,.32122809,.87345403,.80665988,.7290417,.60872465,.038547345,.042657364,.91879529,39710.523
2004,White,1,All,.041442376,.44796062,.85826129,.7973085,.58901525,.48159623,.08681035,.0585391,.85465056,41780.133
2004,Hispanic,0,All,.32746172,.13697846,.62639773,.76503438,.67897671,.67783284,.56523085,.19241065,.24235852,25773.502
2004,Hispanic,1,All,.38177812,.12250606,.59582144,.72225535,.59970874,.66210771,.61057222,.20146449,.18796332,21907.477
2005,White,0,1st Generation,.062630937,.43745223,.83131719,.76785272,.79439408,.65516716,,,,37652.027
2005,White,1,1st Generation,.09087199,.46130845,.78328753,.73854262,.71542352,.53494287,,,,31369.369
2005,Hispanic,0,1st Generation,.45922774,.10413681,.53498948,.7407707,.71809292,.71622914,,,,22585.945
2005,Hispanic,1,1st Generation,.50450963,.08652208,.51788074,.73223758,.6493603,.70634723,,,,19574.486
2005,White,0,2nd Generation,.029744938,.41156435,.88758534,.81836867,.69966805,.57916743,,,,45799.277
2005,White,1,2nd Generation,.035777189,.51383209,.8438853,.78670514,.56226981,.4286634,,,,43954.762
2005,Hispanic,0,2nd Generation,.15048806,.22081114,.79942018,.80901676,.63524139,.63591427,,,,32975.48
2005,Hispanic,1,2nd Generation,.1896286,.15296958,.74851066,.70152485,.50371134,.60132617,,,,27605.045
2005,White,0,3rd Generation,.057850447,.30782881,.8762359,.8143943,.72339374,.60924393,,,,39160.266
2005,White,1,3rd Generation,.040463004,.43400091,.86016232,.80196178,.57962513,.48387906,,,,42787.82
2005,Hispanic,0,3rd Generation,.16257085,.1350175,.73846734,.78080148,.638623,.64031553,,,,31369.369
2005,Hispanic,1,3rd Generation,.14308672,.17997722,.75505275,.78774518,.49360472,.49138865,,,,31369.369
2005,White,0,All,.056841794,.3168976,.87508273,.81287199,.72497314,.6096459,.036300559,.042062446,.921637,39525.406
2005,White,1,All,.04484953,.44121206,.85209793,.7952016,.59116435,.48536018,.09247493,.058697212,.84882784,41422.625
2005,Hispanic,0,All,.32738575,.13470221,.63591224,.7638576,.68274558,.68223035,.56368834,.19921976,.23709193,25722.883
2005,Hispanic,1,All,.37336096,.11743179,.60875469,.7365253,.59084648,.64483839,.61131293,.20050247,.18818462,22836.9
2006,White,0,1st Generation,.078918152,.45922363,.82543594,.78914481,.78503996,.63184768,,,,36409.898
2006,White,1,1st Generation,.069591433,.52383649,.79785055,.7542485,.73735005,.57444221,,,,36721.809
2006,Hispanic,0,1st Generation,.44093114,.10161763,.52771044,.75500071,.72810364,.7393527,,,,21847.152
2006,Hispanic,1,1st Generation,.50315404,.088788383,.50498861,.7450906,.66818124,.70444959,,,,19418.613
2006,White,0,2nd Generation,.0335082,.40651196,.89169157,.79595435,.70091689,.57372165,,,,42487.926
2006,White,1,2nd Generation,.024029665,.51469821,.87308592,.8007853,.60237867,.50920415,,,,41675.984
2006,Hispanic,0,2nd Generation,.15815562,.21603134,.76416379,.7873252,.60805273,.62840861,,,,31555.246
2006,Hispanic,1,2nd Generation,.1511406,.16869372,.74258828,.71200389,.47231865,.56828272,,,,29127.92
2006,White,0,3rd Generation,.055132251,.30890724,.86990052,.81691086,.71716005,.60635424,,,,39197.684
2006,White,1,3rd Generation,.041440774,.4372806,.86561751,.81508118,.57992345,.48677209,,,,43268.309
2006,Hispanic,0,3rd Generation,.15387796,.15105584,.73448336,.77600294,.63166249,.64373189,,,,30341.582
2006,Hispanic,1,3rd Generation,.1385061,.1790227,.7698915,.77019733,.5255118,.5486716,,,,33982.574
2006,White,0,All,.05507648,.31826615,.86923242,.81506079,.71888578,.60590243,.035343032,.041455667,.92320132,39262.008
2006,White,1,All,.042960554,.44986546,.85987782,.80866003,.595662,.49613661,.091356099,.060418546,.84822536,42660.266
2006,Hispanic,0,All,.31916049,.13555543,.62188965,.76620579,.68225044,.69548488,.57285035,.19730951,.22984017,24304.82
2006,Hispanic,1,All,.36449271,.12169787,.60219002,.74347067,.60260427,.64798224,.61298937,.19480677,.19220386,23360.592
2007,White,0,1st Generation,.097097285,.44082835,.82140732,.79069602,.75943768,.56589675,,,,38175.039
2007,White,1,1st Generation,.064418651,.50951427,.78966975,.77414858,.74100578,.5214411,,,,41144.496
2007,Hispanic,0,1st Generation,.4346042,.099373139,.50078964,.75453961,.73157847,.7124629,,,,23096.17
2007,Hispanic,1,1st Generation,.49934244,.088134177,.47051871,.72844869,.69502449,.69170517,,,,20854.383
2007,White,0,2nd Generation,.038721394,.40002856,.86881107,.82370746,.6862793,.51886708,,,,44861.609
2007,White,1,2nd Generation,.037697695,.5321852,.87406987,.80109888,.56989229,.42331225,,,,49755.453
2007,Hispanic,0,2nd Generation,.1474233,.21036549,.79002261,.77794284,.62842584,.65288335,,,,35266.711
2007,Hispanic,1,2nd Generation,.15577775,.21492153,.72472805,.76397288,.4820725,.54507554,,,,29506.482
2007,White,0,3rd Generation,.056371961,.31712806,.86698967,.81788063,.68660599,.51859063,,,,39733.828
2007,White,1,3rd Generation,.041437875,.4605985,.85968423,.82423156,.56498861,.42756271,,,,44671.168
2007,Hispanic,0,3rd Generation,.11657903,.17081371,.74228734,.79893053,.58547097,.60118538,,,,31740.041
2007,Hispanic,1,3rd Generation,.15865162,.16132669,.75718123,.79640687,.48931068,.56436682,,,,31787.063
2007,White,0,All,.057132754,.3253969,.86535543,.81711286,.68932998,.52038121,.037596751,.043644153,.91875911,39968.941
2007,White,1,All,.043383107,.46948171,.85393608,.8181271,.58188808,.43616667,.094349466,.059620291,.84603024,44671.168
2007,Hispanic,0,All,.30837911,.13686082,.61062205,.76888067,.67924368,.67633384,.58404076,.19648442,.21947482,25862.256
2007,Hispanic,1,All,.3638514,.12784871,.57754165,.74886715,.61211139,.63741624,.60399371,.20020287,.19580342,23511.141
2008,White,0,1st Generation,.060263257,.44828832,.82920569,.81131119,.73961437,.51137191,,,,38122.527
2008,White,1,1st Generation,.056397066,.50958872,.77269369,.73333025,.66730762,.49961784,,,,34294.156
2008,Hispanic,0,1st Generation,.4400703,.10581204,.4938899,.72637171,.72599655,.70948136,,,,22634.143
2008,Hispanic,1,1st Generation,.47949919,.089361131,.49447212,.7274431,.68740404,.6567384,,,,19433.355
2008,White,0,2nd Generation,.03018038,.43907967,.91136062,.81691712,.65958673,.4761939,,,,45725.543
2008,White,1,2nd Generation,.03754067,.49664757,.88220298,.81418586,.47815391,.39353755,,,,46870.965
2008,Hispanic,0,2nd Generation,.12820001,.20579433,.76406175,.80936819,.61524957,.64644521,,,,35711.648
2008,Hispanic,1,2nd Generation,.13873747,.22588888,.75024033,.78825587,.45290729,.55889976,,,,30864.74
2008,White,0,3rd Generation,.052863285,.3256532,.87106758,.81241125,.67907375,.50973052,,,,40009.848
2008,White,1,3rd Generation,.033655759,.47071883,.86216086,.82187426,.5432899,.38175124,,,,43901.094
2008,Hispanic,0,3rd Generation,.14823709,.14714502,.76418555,.76656282,.59149081,.61006123,,,,30864.74
